# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "pdam_1415_maker.gtf" "-o" "feature_counts.out" "-t" "exon" "-g" "gene_id" "Wt1-1a_1415.bam" "Wt1-1b_1415.bam" "Wt1-1c_1415.bam" "Wt1-2a_1415.bam" "Wt1-2b_1415.bam" "Wt1-3a_1415.bam" "Wt1-3b_1415.bam" "Wt1-3c_1415.bam" "Wt1-4a_1415.bam" "Wt1-4b_1415.bam" "Wt1-4c_1415.bam" "Wt1-5a_1415.bam" "Wt1-5b_1415.bam" "Wt1-5c_1415.bam" "Wt1-6b_1415.bam" "Wt1-6c_1415.bam" "Wt2-1a_1415.bam" "Wt2-1b_1415.bam" "Wt2-1c_1415.bam" "Wt2-2b_1415.bam" "Wt2-2c_1415.bam" "Wt2-3a_1415.bam" "Wt2-3b_1415.bam" "Wt2-3c_1415.bam" "Wt2-4a_1415.bam" "Wt2-5a_1415.bam" "Wt2-5b_1415.bam" "Wt2-5c_1415.bam" "Wt2-6a_1415.bam" "Wt2-6b_1415.bam" "Wt2-6c_1415.bam" 
Geneid	Chr	Start	End	Strand	Length	Wt1-1a_1415.bam	Wt1-1b_1415.bam	Wt1-1c_1415.bam	Wt1-2a_1415.bam	Wt1-2b_1415.bam	Wt1-3a_1415.bam	Wt1-3b_1415.bam	Wt1-3c_1415.bam	Wt1-4a_1415.bam	Wt1-4b_1415.bam	Wt1-4c_1415.bam	Wt1-5a_1415.bam	Wt1-5b_1415.bam	Wt1-5c_1415.bam	Wt1-6b_1415.bam	Wt1-6c_1415.bam	Wt2-1a_1415.bam	Wt2-1b_1415.bam	Wt2-1c_1415.bam	Wt2-2b_1415.bam	Wt2-2c_1415.bam	Wt2-3a_1415.bam	Wt2-3b_1415.bam	Wt2-3c_1415.bam	Wt2-4a_1415.bam	Wt2-5a_1415.bam	Wt2-5b_1415.bam	Wt2-5c_1415.bam	Wt2-6a_1415.bam	Wt2-6b_1415.bam	Wt2-6c_1415.bam
pdam_00000247	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	2917;2984;3989;5678;6110;6505	2960;3261;4115;5739;6241;6706	+;+;+;+;+;+	845	2	2	7	6	13	4	2	2	2	2	11	8	9	6	2	4	12	13	8	0	4	18	12	1	7	5	11	15	22	13	11
pdam_00000248	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	7226;8192;8646;9706;11961	7538;8339;8972;11389;12145	+;+;+;+;+	2657	27	18	19	13	17	42	21	40	14	27	20	30	41	42	58	47	42	17	29	8	33	26	55	32	46	37	49	31	54	49	69
pdam_00000249	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	24481;24916;25523;25703	24556;24972;25576;26145	+;+;+;+	630	23	20	8	4	61	4	3	75	10	5	8	7	52	13	192	9	43	17	0	0	1	7	2	6	18	3	102	5	501	13	14
pdam_00000250	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	34309;35223;35522;35771;36210;36549;37009;37905;38583;41759;42656	34471;35324;35650;35878;36311;36641;37104;38440;38931;41944;43107	+;+;+;+;+;+;+;+;+;+;+	2316	25	20	11	6	43	8	9	44	4	9	8	3	27	20	60	31	47	35	21	3	0	4	8	9	5	32	46	8	113	20	33
pdam_00000251	SczhEnG_1415;SczhEnG_1415	43730;44076	43772;44497	+;+	465	1	0	0	0	0	0	1	0	0	1	1	0	2	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	3	1	0
pdam_00000252	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	49105;54661;55149;55787;56983	49897;54795;55226;55858;58808	+;+;+;+;+	2904	133	51	47	22	178	26	63	326	25	29	21	33	188	160	304	52	118	38	7	6	0	39	14	30	13	140	327	57	58	127	40
pdam_00000253	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	60032;60877;62504;62952;63540;63854;64693;64862;65531;65890	60410;62118;62555;63083;63629;63931;64755;64932;65629;66537	+;+;+;+;+;+;+;+;+;+	2854	110	137	146	87	123	144	112	141	107	124	158	146	221	215	201	238	286	133	139	6	63	71	109	84	184	194	231	48	266	209	205
pdam_00000254	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	71326;71645;73071;73913;74553;75704;77862;78596;79638;80425;81821;82539;83241;83797;84836;85889;86598;87449;88306	71525;71689;73113;73953;75467;76248;78190;78820;79937;80562;82039;82997;83304;84048;85097;86017;86791;87684;90220	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6511	27	18	21	23	22	14	38	34	18	54	33	44	54	43	56	68	60	42	49	1	16	9	36	23	76	49	70	13	89	59	84
pdam_00000255	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	90081;91510;91985;92124;94338;95621;96525;97838;99618	90949;91561;92011;92436;95196;95779;96872;98608;99924	-;-;-;-;-;-;-;-;-	3705	25	31	23	19	35	19	18	25	13	12	20	15	14	49	40	64	33	25	34	4	16	29	39	18	3	15	38	30	59	51	31
pdam_00000256	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	100688;100811;101630;102128;102795	100704;100942;101732;102229;102863	+;+;+;+;+	423	15933	12315	15569	7351	18217	9574	11325	18219	8572	11417	10779	12303	23258	21963	39805	36058	25386	12108	10935	3140	11564	28396	12798	10916	9746	21893	30806	30659	31241	27453	25823
